bulgarian,english,french,irish,german,greek,spanish,swedish,italian,portuguese
MOZHE LI DVE KISELI MLEKA MOLYA,MAY I HAVE TWO YOGURTS PLEASE,PUIS JE AVOIR DEUX YAOURTS SIL VOUS PLAIT,GO MBEIDH DHA IOGART AGAM LE DO THOIL,"
DARF ICH BITTE ZWEI JOGHURTS HABEN",EPITREPSTE MOU NA ECHO DYO GIAOURTIA PARAKALO,"PUEDO TENER DOS YOGURES, POR FAVOR",FAR JAG TVA YOGHURTAR TACK,POSSO AVERE DUE YOGURT PER FAVORE,POSSO TER DOIS IOGURTES POR FAVOR
IZVINETE MOZHE LI DA ZATVORYA VRATATA,EXCUSE ME CAN I CLOSE THE DOOR,EXCUSEZ MOI PUIS JE FERMER LA PORTE,GABH MO LEITHSCEAL AN FEIDIR LIOM AN DORAS A DHUNADH,"ENTSCHULDIGUNG, KANN ICH DIE TUR SCHLIESSEN",ME SYNCHOREITE BORO NA KLEISO TIN PORTA,DISCULPE PUEDO CERRAR LA PUERTA,URSAKTA KAN JAG STANGA DORREN,MI SCUSI POSSO CHIUDERE LA PORTA,COM LICENCA POSSO FECHAR A PORTA
IZVINETE MOZHE LI EDIN HLYAB,EXCUSE ME MAY I HAVE ONE LOAF OF BREAD,EXCUSEZ MOI PUIS JE AVOIR UNE MICHE DE PAIN,GABH MO LEITHSCEAL GO MBEIDH BUILIN AMHAIN ARAIN AGAM,"ENTSCHULDIGUNG, DARF ICH EINEN LAIB BROT HABEN","ME SYNCHOREITE, EPITREPSTE MOU NA ECHO ENA KARVELI PSOMI",DISCULPE PUEDO TENER UNA BARRA DE PAN,URSAKTA ATT JAG FAR EN LIMPA BROD,MI SCUSI POSSO AVERE UNA PAGNOTTA,"COM LICENCA, POSSO COMER UM PAO"
KAKVO E NASTROENIETO TI DNES,WHAT IS YOUR MOOD TODAY,QUELLE EST VOTRE HUMEUR AUJOURDHUI,CAD E DO GHIUMAR INNIU,WIE IST DEINE STIMMUNG HEUTE,POIA EINAI I DIATHESI SAS SIMERA,CUAL ES TU ESTADO DE ANIMO HOY,VAD AR DITT HUMOR IDAG,QUAL E IL TUO STATO D'ANIMO OGGI,QUAL E O SEU HUMOR HOJE
KAKVO BESHE NASTROENIETO TI VCHERA,WHAT WAS YOUR MOOD YESTERDAY,QUELLE ETAIT TON HUMEUR HIER,CAD A BHI AR DO GIUMAR INNE,WIE WAR DEINE STIMMUNG GESTERN,POIA ITAN I DIATHESI SAS CHTHES,CUAL FUE TU ESTADO DE ANIMO AYER,VAD VAR DITT HUMOR IGAR,QUAL ERA IL TUO UMORE IERI,QUAL ERA O SEU HUMOR ONTEM
KAKVO SHTE BADE NASTROENIETO TI UTRE,WHAT WILL BE YOUR MOOD TOMORROW,QUELLE SERA VOTRE HUMEUR DEMAIN,CAD A BHEIDH AR DO GIUMAR AMARACH,WIE WIRD IHRE STIMMUNG MORGEN SEIN,POIA THA EINAI I DIATHESI SAS AVRIO,CUAL SERA TU ESTADO DE ANIMO MANANA,HUR BLIR DITT HUMOR IMORGON,QUALE SARA IL TUO UMORE DOMANI,QUAL SERA O SEU HUMOR AMANHA
KOGA PRISTIGA VLAKAT,WHEN IS THE TRAIN ARRIVING,QUAND ARRIVE LE TRAIN,CATHAIN A BHEIDH AN TRAEIN AG TEACHT,WANN KOMMT DER ZUG,POTE FTANEI TO TRENO,CUANDO LLEGA EL TREN,NAR KOMMER TAGET,QUANDO ARRIVA IL TRENO,QUANDO O TREM CHEGA
KOGA PRISTIGA KOLATA IM,WHEN IS THEIR CAR ARRIVING,QUAND EST CE QUE LEUR VOITURE ARRIVE,CATHAIN A BHEIDH A GCARR AG TEACHT,WANN KOMMT IHR AUTO,POTE FTANEI TO AFTOKINITO TOUS,CUANDO LLEGA SU COCHE,NAR KOMMER DERAS BIL,QUANDO ARRIVA LA LORO MACCHINA,QUANDO O CARRO DELES CHEGA
KOGA PRISTIGA MOTORAT,WHEN IS THE MOTORCYCLE ARRIVING,QUAND ESTCE QUE LA MOTO ARRIVE,CATHAIN A BHEIDH AN GLUAISROTHAR AG TEACHT,WANN KOMMT DAS MOTORRAD,POTE FTANEI I MOTOSYKLETA,CUANDO LLEGA LA MOTO,NAR KOMMER MOTORCYKELN,QUANDO ARRIVA LA MOTO,QUANDO CHEGA A MOTO
KADE E KATEDRALATA,WHERE IS THE CATHEDRAL,OU EST LA CATHEDRALE,CA BHFUIL AN ARDEAGLAIS,WO IST DIE KATHEDRALE,POU EINAI O KATHEDRIKOS NAOS,DONDE ESTA LA CATEDRAL,VAR LIGGER KATEDRALEN,DOV'E LA CATTEDRALE,ONDE FICA A CATEDRAL
KADE E PARKAT,WHERE IS THE PARK,OU EST LA PARC,CA BHFUIL AN PHAIRC,WO IST DER PARK,POU EINAI TO PARKO,DONDE ESTA EL PARQUE,VAR LIGGER PARKEN,DOV'E IL PARCO,ONDE E O PARQUE
KADE E PLAZHAT,WHERE IS THE BEACH,OU EST LA PLAGE,CA BHFUIL AN TRA,WO IST DER STRAND,POU EINAI I PARALIA,DONDE ESTA LA PLAYA,VAR AR STRANDEN,DOV'E LA SPIAGGIA,ONDE E A PRAIA
